Model,Test_AUC,Test_F1,Precision_No,Recall_No,F1_No,Precision_Yes,Recall_Yes,F1_Yes,CV_F1_Mean,CV_F1_Std
RandomForest,0.9933884297520661,0.9601307391076439,0.9482758620689655,1.0,0.9734513274336283,1.0,0.8636363636363636,0.926829268292683,0.9597901029524849,0.02545443550369693
LogisticRegression,0.9925619834710743,0.9607614258777051,0.9642857142857143,0.9818181818181818,0.972972972972973,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9510149289182888,0.022790385802892697
SVC,0.9801652892561984,0.9607614258777051,0.9642857142857143,0.9818181818181818,0.972972972972973,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9669643543390652,0.015186564004638707
GaussianNB,0.9797520661157024,0.919548872180451,0.9152542372881356,0.9818181818181818,0.9473684210526315,0.9444444444444444,0.7727272727272727,0.85,0.9099578716019489,0.03127544495630659
KNN,0.9719008264462811,0.9472789115646258,0.9473684210526315,0.9818181818181818,0.9642857142857143,0.95,0.8636363636363636,0.9047619047619048,0.9324042124885766,0.025358873406677848
DecisionTree,0.9272727272727274,0.9354885685160914,0.9629629629629629,0.9454545454545454,0.9541284403669725,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.9310861571491265,0.018805504704695403
